,Average price of S&P 1-Jan,,,,,,,,,,
S&P 500 List,Start Date,price,,,,,,,,,
1312089D UN Equity,12/2/91,16.875,,,,,,,,,
TMK UN Equity,12/2/91,6.7142,,,,,,,,,
HDLM UN Equity,12/2/91,13.125,,,,,,,,,
JCI UN Equity,12/2/91,2.8436,,,,,,,,,
UNP UN Equity,12/2/91,7.813,,,,,,,,,
3080867Q UN Equity,12/2/91,13.875,,,,,,,,,
DCNAQ UN Equity,12/2/91,13.125,,,,,,,,,
MRNKQ US Equity,12/2/91,42.625,,,,,,,,,
3026360Q UN Equity,12/2/91,2.3542,,,,,,,,,
RBK UN Equity,12/2/91,26.125,,,,,,,,,
VFC UN Equity,12/2/91,4.4688,,,,,,,,,
GP UN Equity,12/2/91,17.1367,,,,,,,,,
ZETHQ US Equity,12/2/91,6.25,,,,,,,,,
WBA UN Equity,12/2/91,4.1563,,,,,,,,,
BSET UQ Equity,12/2/91,18.6,,,,,,,,,
WY UN Equity,12/2/91,9.8735,,,,,,,,,
987200Q UN Equity,12/2/91,15.8675,,,,,,,,,
WHR UN Equity,12/2/91,34.75,,,,,,,,,
DALRQ UN Equity,12/2/91,28.6875,,,,,,,,,
WMB UN Equity,12/2/91,4.3884,,,,,,,,,
SPXC UN Equity,12/2/91,1.448,,,,,,,,,
1624Q US Equity,12/2/91,20.75,,,,,,,,,
UCL UN Equity,12/2/91,23,,,,,,,,,
XRX UN Equity,12/2/91,27.5535,,,,,,,,,
TOY UN Equity,12/2/91,28.625,,,,,,,,,
HTMXQ UN Equity,12/2/91,7.25,,,,,,,,,
605555Q UN Equity,12/2/91,14.3313,,,,,,,,,
WNDXQ UN Equity,12/2/91,18.5,,,,,,,,,
3621240Q UN Equity,12/2/91,24.5202,,,,,,,,,
FWLT UN Equity,12/2/91,228.75,,,,,,,,,
WOR US Equity,12/2/91,13.5833,,,,,,,,,
USB US Equity,12/2/91,2.7116,,,,,,,,,
TAP US Equity,12/2/91,9.813,,,,,,,,,
JWN US Equity,12/2/91,8.9375,,,,,,,,,
GCO UN Equity,12/2/91,5.1993,,,,,,,,,
